Latitude	Longitude	Snow Depth
71.31861	-156.52489	2.2574
71.31863	-156.52484	6.8133
71.31865	-156.52478	3.9582
71.31868	-156.52469	7.9978
71.3187	-156.52463	9.5468
71.31873	-156.52456	7.5422
71.31875	-156.52453	4.0494
71.31876	-156.52444	7.9067
71.3188	-156.52433	20.694
71.31881	-156.52426	17.17
71.31883	-156.52421	15.864
71.31885	-156.52413	11.157
71.31886	-156.52406	7.4511
71.3189	-156.52401	11.946
71.3189	-156.52394	5.568
71.31893	-156.52384	7.1474
71.31896	-156.52376	4.0797
71.31898	-156.52369	2.6826
71.31901	-156.52359	4.3531
71.31903	-156.52354	9.7595
71.31905	-156.52349	1.6196
71.31908	-156.52341	5.4771
71.3191	-156.52333	2.7131
71.31911	-156.52324	2.4094
71.31915	-156.52318	5.0823
71.31916	-156.52311	15.318
71.31918	-156.52306	11.643
71.31921	-156.52299	20.36
71.31923	-156.52291	14.954
71.31925	-156.52286	7.8463
71.31928	-156.52278	20.209
71.3193	-156.52269	39.952
71.31931	-156.52261	21.089
71.31935	-156.52253	29.442
71.31936	-156.52249	22.669
71.3194	-156.52241	15.561
71.31941	-156.52233	6.7528
71.31943	-156.52224	18.69
71.31945	-156.52219	23.003
71.31948	-156.52211	24.886
71.3195	-156.52203	28.926
71.31951	-156.52198	33.573
71.31953	-156.52193	22.183
71.31956	-156.52188	22.851
71.31958	-156.52178	12.372
71.3196	-156.52171	17.263
71.31963	-156.52165	12.494
71.31965	-156.5216	12.281
71.31968	-156.52153	21.242
71.3197	-156.52145	13.436
71.31971	-156.5214	13.557
71.31975	-156.52133	8.7275
71.31976	-156.52126	13.618
71.3198	-156.52121	10.55
71.31981	-156.52116	10.732
71.31983	-156.52105	15.228
71.31985	-156.52101	10.641
71.31986	-156.52091	8.6973
71.3199	-156.52086	7.8772
71.31991	-156.52076	4.2929
71.31993	-156.5207	7.8468
71.31995	-156.52063	7.3304
71.31998	-156.52056	8.3936
71.32	-156.5205	12.585
71.32001	-156.52046	7.2089
71.32003	-156.52038	3.4727
71.32005	-156.52031	9.0315
71.32008	-156.52021	8.0594
71.3201	-156.52016	5.5079
71.32013	-156.52011	3.1385
71.32015	-156.52003	5.0218
71.32016	-156.51996	7.2392
71.3202	-156.5199	11.795
71.32021	-156.51983	6.419
71.32023	-156.51976	3.3815
71.32025	-156.5197	10.854
71.32026	-156.51961	9.7299
71.3203	-156.51958	11.036
71.32033	-156.51948	23.945
71.32035	-156.51946	26.193
71.32036	-156.51936	27.682
71.32038	-156.51928	24.401
71.3204	-156.51923	21.364
71.32043	-156.51915	17.779
71.32045	-156.51906	20.726
71.32046	-156.519	12.069
71.3205	-156.51895	3.503
71.32051	-156.51886	4.4447
71.32053	-156.5188	11.856
71.32055	-156.51873	7.6644
71.32058	-156.51866	2.2273
71.3206	-156.51858	2.9259
71.32061	-156.5185	4.0194
71.32065	-156.51843	4.5054
71.32066	-156.51836	5.7204
71.3207	-156.51831	7.2394
71.32071	-156.51821	14.499
71.32073	-156.51813	23.673
71.32076	-156.51805	13.649
71.32078	-156.51796	17.932
71.32081	-156.5179	24.402
71.32083	-156.51785	23.187
71.32085	-156.51775	27.257
71.3209	-156.51768	17.051
71.32091	-156.51763	29.414
71.32095	-156.51755	24.128
71.32096	-156.51748	21.759
71.321	-156.5174	26.194
71.32101	-156.51735	22.032
71.32105	-156.51725	11.34
71.32106	-156.51721	4.7789
71.3211	-156.51711	7.5127
71.32111	-156.51708	15.016
71.32115	-156.51698	16.413
71.32116	-156.51691	6.6926
71.3212	-156.51686	10.307
71.32121	-156.5168	9.4259
71.32123	-156.5167	15.653
71.32125	-156.51663	7.7553
71.32126	-156.51655	8.3628
71.32128	-156.51648	22.396
71.32131	-156.51641	29.655
71.32133	-156.51634	32.207
71.32135	-156.51627	34.667
71.32136	-156.51619	32.723
71.3214	-156.51612	23.094
71.32141	-156.51604	22.244
71.32143	-156.51596	32.024
71.32146	-156.51591	27.711
71.32148	-156.51584	18.204
71.32151	-156.51576	3.6548
71.32153	-156.51567	9.3044
71.32155	-156.51561	20.482
71.32156	-156.51552	23.793
71.3216	-156.51546	15.167
71.32163	-156.51541	19.692
71.32165	-156.51534	18.083
71.32166	-156.51527	19.267
71.3217	-156.51519	16.047
71.32171	-156.51514	19.48
71.32173	-156.51507	15.257
71.32176	-156.51499	15.53
71.32178	-156.51494	7.5423
71.32181	-156.51487	9.881
71.32183	-156.51479	9.7595
71.32185	-156.51471	11.886
71.32186	-156.51464	7.2386
71.3219	-156.51459	6.54
71.32191	-156.51452	8.8483
71.32195	-156.51442	16.867
71.32196	-156.51436	10.762
71.322	-156.51429	16.472
71.32201	-156.51424	6.54
71.32205	-156.51416	5.2339
71.32206	-156.51407	10.701
71.32208	-156.51404	11.552
71.32211	-156.51394	16.867
71.32213	-156.51386	5.811
71.32216	-156.51379	5.3858
71.32218	-156.51371	14.376
71.32221	-156.51362	25.493
71.32223	-156.51356	19.813
71.32225	-156.51349	19.722
71.32228	-156.51341	23.063
71.3223	-156.51334	33.785
71.32231	-156.51331	29.107
71.32235	-156.51322	14.558
71.32236	-156.51314	15.257
71.32238	-156.51309	14.801
71.32241	-156.51304	10.276
71.32241	-156.51296	13.161
71.32245	-156.51289	13.283
71.32248	-156.51279	13.435
71.32251	-156.51269	23.154
71.32253	-156.51266	36.306
71.32256	-156.51259	37.733
71.32256	-156.51252	30.322
71.32258	-156.51247	25.705
71.32261	-156.51241	20.421
71.32263	-156.51236	16.928
71.32265	-156.51229	13.161
