Latitude	Longitude	Snow Depth
71.37091	-156.54688	18.04
71.37094	-156.5469	8.0395
71.37099	-156.5469	5.247
71.37102	-156.54693	2.8443
71.37106	-156.54698	3.169
71.37107	-156.54703	4.9225
71.37111	-156.54707	4.0782
71.37116	-156.54708	9.2087
71.37119	-156.5471	6.8058
71.37122	-156.54713	8.4946
71.37126	-156.54715	6.4163
71.37131	-156.5472	8.6569
71.37134	-156.54722	5.1823
71.37137	-156.54725	4.7277
71.37141	-156.5473	4.5978
71.37144	-156.54732	3.6886
71.37147	-156.54735	3.6886
71.37151	-156.54737	5.1823
71.37154	-156.54738	8.1049
71.35864	-156.53701	2
71.36934	-156.54555	5.7695
71.36934	-156.54555	5.6395
71.36936	-156.54557	6.1595
71.36936	-156.54559	5.1196
71.36937	-156.54559	7.1993
71.36937	-156.54559	8.2392
71.36939	-156.5456	5.6395
71.36941	-156.5456	3.6898
71.36941	-156.54562	3.7548
71.36942	-156.54562	4.2097
71.36944	-156.54564	4.1447
71.36944	-156.54564	4.2097
71.36946	-156.54565	4.7296
71.36947	-156.54565	3.9497
71.36947	-156.54565	3.9497
71.36949	-156.54568	4.5347
71.36951	-156.54567	3.9497
71.36952	-156.54568	3.7548
71.36954	-156.5457	4.9895
71.36956	-156.5457	5.5744
71.36956	-156.54572	7.4592
71.36957	-156.54572	7.8166
71.36959	-156.54574	6.2243
71.36959	-156.54575	4.6646
71.36961	-156.54575	5.8344
71.36962	-156.54577	7.4592
71.36962	-156.54577	8.109
71.36966	-156.54578	6.8093
71.36966	-156.5458	4.8596
71.36967	-156.5458	6.0294
71.36967	-156.5458	8.8564
71.36969	-156.54582	8.434
71.36971	-156.54583	7.5241
71.36971	-156.54583	7.0042
71.36972	-156.54585	5.8344
71.36974	-156.54587	6.5493
71.36974	-156.54587	7.9791
71.36976	-156.54588	7.3942
71.36977	-156.54588	5.1845
71.36979	-156.5459	4.4696
71.36979	-156.54592	6.4843
71.36981	-156.54592	3.8847
71.36982	-156.54592	5.8344
71.36982	-156.54592	7.4592
71.36984	-156.54593	8.174
71.36986	-156.54593	8.8889
71.36986	-156.54593	7.1342
71.36987	-156.54595	5.5095
71.36989	-156.54595	4.9895
71.36991	-156.54598	5.5419
71.36991	-156.546	8.304
71.36992	-156.546	8.9539
71.36992	-156.546	8.8889
71.36994	-156.546	5.7043
71.36996	-156.546	4.4695
71.36996	-156.54602	5.8993
71.36997	-156.54602	5.3794
71.36999	-156.54603	5.5743
71.37001	-156.54605	8.1738
71.37001	-156.54605	8.7587
71.37002	-156.54607	9.9935
71.37004	-156.54608	9.9285
71.37006	-156.5461	8.6288
71.37007	-156.5461	9.5386
71.37007	-156.5461	11.293
71.37009	-156.54612	10.156
71.37011	-156.54613	9.6686
71.37011	-156.54613	7.459
71.37012	-156.54615	5.8343
71.37014	-156.54617	6.4192
71.37016	-156.54617	7.199
71.37016	-156.54617	9.9935
71.37017	-156.54618	10.253
71.37019	-156.54618	11.618
71.37019	-156.5462	10.188
71.37021	-156.54623	10.123
71.37022	-156.54623	15.582
71.37024	-156.54623	10.123
71.37024	-156.54625	10.253
71.37026	-156.54625	9.0187
71.37027	-156.5463	7.459
71.37029	-156.54633	7.1988
71.37029	-156.54633	20.716
71.37031	-156.54635	27.864
71.37032	-156.54637	25.135
71.37034	-156.54637	21.431
71.37034	-156.54637	17.207
71.37036	-156.54638	14.997
71.37036	-156.54638	12.203
71.37037	-156.5464	8.3686
71.37039	-156.5464	8.3686
71.37039	-156.54642	5.1193
71.37041	-156.54642	3.4946
71.37041	-156.5464	3.4296
71.37042	-156.54642	3.8195
71.37044	-156.54643	4.0794
71.37046	-156.54645	6.5487
71.37046	-156.54645	6.8087
