Latitude	Longitude	Snow Depth
71.37397	-156.34985	7.3206
71.37396	-156.34988	18.335
71.37396	-156.34993	20.457
71.37394	-156.34996	18.971
71.37392	-156.34996	22.915
71.37392	-156.35008	38.115
71.37391	-156.35006	29.074
71.37391	-156.35006	35.233
71.37391	-156.3501	25.585
71.37389	-156.35011	11.689
71.37391	-156.35013	43.668
71.37387	-156.35021	34.96
71.37386	-156.35025	19.76
71.37384	-156.35023	15.269
71.37384	-156.35023	11.446
71.37382	-156.35026	9.6562
71.37382	-156.35033	6.3491
71.37381	-156.35035	21.003
71.37382	-156.35035	20.548
71.37379	-156.3504	24.948
71.37377	-156.35046	42.909
71.37377	-156.35051	17.211
71.37377	-156.35053	31.32
71.37374	-156.35056	12.599
71.37372	-156.3506	17.424
71.37372	-156.35061	29.105
71.37372	-156.35066	25.039
71.37371	-156.35071	37.388
71.37371	-156.35066	23.188
71.37369	-156.3507	32.473
71.37369	-156.35078	24.827
71.37367	-156.35078	17.363
71.37366	-156.35085	17.727
71.37367	-156.35085	7.1381
71.37366	-156.35086	23.097
71.37364	-156.3509	23.522
71.37362	-156.35091	11.932
71.37362	-156.35095	13.267
71.37359	-156.351	10.627
71.37359	-156.35101	3.6186
71.37359	-156.35108	2.3443
71.37359	-156.35105	13.206
71.37357	-156.3511	11.446
71.37356	-156.35113	15.117
71.37356	-156.3511	18.211
71.37356	-156.35118	31.166
71.37356	-156.35123	35.444
71.37352	-156.3512	3.8003
71.37352	-156.35123	45.819
71.37351	-156.35131	45.607
71.37351	-156.35135	33.684
71.37349	-156.35138	10.718
71.37349	-156.35141	40.753
71.37347	-156.35143	6.6218
71.37347	-156.35145	22.55
71.37346	-156.3515	33.957
71.37346	-156.35153	27.707
71.37344	-156.35153	47.913
71.37344	-156.3516	55.771
71.37342	-156.35166	34.382
71.37341	-156.35168	50.006
71.37341	-156.35165	34.806
71.37342	-156.35163	65.723
71.37342	-156.35168	20.973
71.37339	-156.35176	59.14
71.37337	-156.35179	40.693
71.37337	-156.35181	9.929
71.37336	-156.35186	21.579
71.37334	-156.35188	42.028
71.37336	-156.35184	5.9242
71.37336	-156.35199	19.971
71.37336	-156.35198	65.147
71.37332	-156.35199	21.003
71.37331	-156.35204	48.369
71.37329	-156.35208	26.556
71.37327	-156.35209	32.775
71.37326	-156.35214	22.976
71.37326	-156.35216	16.483
71.37324	-156.35218	16.24
71.37324	-156.35219	17.787
71.37322	-156.35226	7.1986
71.37322	-156.35226	30.196
71.37322	-156.35226	1.8284
71.37322	-156.35228	19.153
71.37322	-156.35231	34.747
71.37321	-156.35234	24.826
71.37319	-156.35236	42.424
71.37317	-156.35241	81.047
71.37317	-156.35243	86.629
71.37316	-156.35253	56.168
71.37312	-156.35259	42.879
71.37312	-156.35259	31.896
71.37312	-156.35264	54.104
71.37311	-156.35261	6.4709
71.37311	-156.35268	36.964
71.37309	-156.35268	40.909
71.37307	-156.35273	46.583
71.37307	-156.35269	54.168
71.37306	-156.35278	24.13
71.37306	-156.35281	31.108
71.37304	-156.35283	30.289
71.37302	-156.35288	8.6555
71.37302	-156.35291	5.4393
71.37302	-156.35291	24.676
71.37301	-156.35296	2.041
71.37299	-156.35301	3.0423
71.37299	-156.35303	8.5948
71.37297	-156.35306	23.432
71.37296	-156.35311	39.361
71.37294	-156.35313	20.914
71.37296	-156.35316	7.6543
71.37296	-156.35319	3.7402
71.37292	-156.35324	5.6517
71.37291	-156.35326	1.2825
71.37291	-156.35328	2.4658
71.37289	-156.35329	5.591
71.37289	-156.35333	12.236
71.37287	-156.35341	3.9829
71.37286	-156.35346	7.7756
71.37286	-156.35346	5.3179
71.37284	-156.35349	47.402
71.37282	-156.35353	23.887
71.37281	-156.35356	37.056
71.37279	-156.35361	21.217
71.37279	-156.35363	24.585
71.37277	-156.35364	45.551
71.37277	-156.35366	32.808
71.37276	-156.35371	27.012
71.37276	-156.35376	22.43
71.37274	-156.35378	2.4657
71.37274	-156.35379	17.272
71.37271	-156.35383	27.436
71.37271	-156.35388	14.481
71.37271	-156.35389	10.809
71.37269	-156.35393	15.694
71.37267	-156.35398	20.579
71.37267	-156.35399	5.3177
71.37267	-156.35401	37.843
71.37267	-156.35403	21.125
71.37266	-156.35408	40.392
71.37264	-156.35411	34.172
71.37264	-156.35414	25.131
71.37262	-156.35416	10.628
71.37261	-156.35421	11.325
71.37261	-156.35421	43.518
71.37261	-156.35429	10.233
71.37259	-156.35431	16.544
71.37259	-156.35434	16.605
71.37257	-156.35436	13.419
71.37256	-156.35441	36.903
71.37256	-156.35444	15.664
71.37254	-156.35449	25.282
71.37254	-156.35449	16.271
71.37252	-156.35453	17.788
71.37251	-156.35456	21.52
71.37251	-156.35459	21.52
71.37251	-156.35458	15.573
71.37249	-156.35466	14.845
71.37249	-156.35468	7.8361
71.37247	-156.35473	10.901
71.37247	-156.35474	7.108
71.37246	-156.35481	13.662
71.37242	-156.35486	8.4734
71.37244	-156.35484	12.357
71.37244	-156.35484	2.5265
71.37244	-156.35484	2.3747
71.37242	-156.35489	3.9828
71.37241	-156.35498	4.8324
71.37237	-156.35499	34.931
71.37237	-156.35501	18.274
71.37237	-156.35504	37.298
71.37237	-156.35506	34.385
71.37236	-156.35508	0.46323
71.37234	-156.35513	8.4127
71.37232	-156.35518	3.7401
71.37232	-156.35519	3.3153
71.37231	-156.35524	4.2256
71.37231	-156.35524	10.385
71.37231	-156.35526	24.676
71.37231	-156.35529	41.97
71.37227	-156.35534	30.137
71.37227	-156.35536	16.332
71.37226	-156.35538	31.928
71.37226	-156.35543	30.835
71.37226	-156.35544	3.5581
71.37224	-156.35549	4.8931
71.37222	-156.35553	33.354
71.37221	-156.35551	51.073
71.37219	-156.35551	28.347
71.37219	-156.35556	21.429
71.37219	-156.35564	20.094
71.37219	-156.35566	28.074
71.37217	-156.35573	21.399
71.37216	-156.35574	30.016
71.37214	-156.35579	29.955
71.37214	-156.35579	15.27
71.37216	-156.35579	25.556
71.37214	-156.35583	34.507
71.37212	-156.35588	36.509
71.37212	-156.35588	26.436
71.37212	-156.35586	24.069
71.37211	-156.35593	16.12
71.37209	-156.35599	28.621
71.37207	-156.35603	25.95
71.37209	-156.35601	27.286
71.37209	-156.35596	25.435
71.37209	-156.35608	17.727
71.37206	-156.35614	13.024
71.37206	-156.35616	17.363
71.37202	-156.35619	19.184
71.37202	-156.35618	13.874
71.37202	-156.35624	13.692
71.37202	-156.35629	29.591
71.37201	-156.35629	30.379
71.37199	-156.35631	33.323
71.37199	-156.35634	2.4354
71.37202	-156.35623	10.021
71.37197	-156.35636	12.053
71.37197	-156.35639	13.783
71.37196	-156.35649	26.465
71.37194	-156.35648	27.922
71.37192	-156.35649	31.988
71.37191	-156.35654	1.9499
71.37192	-156.35656	12.083
71.37192	-156.35653	37.932
71.37191	-156.35656	17.969
71.37189	-156.35664	27.04
71.37189	-156.35661	25.766
71.37187	-156.35666	29.285
71.37187	-156.35676	40.814
71.37186	-156.35676	18.363
71.37186	-156.35676	27.799
71.37184	-156.35679	5.8635
71.37184	-156.35681	19.82
71.37184	-156.35683	3.5577
71.37182	-156.35688	59.534
71.37182	-156.35694	40.45
71.37179	-156.35696	13.934
71.37179	-156.35699	24.977
71.37179	-156.35698	27.738
71.37177	-156.35704	52.586
71.37174	-156.35709	27.738
71.37176	-156.35711	44.941
71.37172	-156.35714	50.401
71.37171	-156.35723	47.337
71.37171	-156.35728	51.584
71.37171	-156.35724	29.892
71.37169	-156.35733	48.247
71.37169	-156.35734	45.729
71.37169	-156.35739	59.078
71.37166	-156.35743	51.099
71.37166	-156.35749	38.872
71.37164	-156.35751	14.298
71.37164	-156.35753	42.574
71.37162	-156.35756	13.175
71.37161	-156.35759	14.207
71.37159	-156.35761	26.676
71.37159	-156.35764	32.895
71.37159	-156.35768	10.778
71.37157	-156.35769	21.761
71.37156	-156.35774	25.007
71.37156	-156.35778	26.554
71.37154	-156.35781	6.5914
71.37154	-156.35781	40.692
71.37151	-156.35791	17.726
71.37152	-156.35793	30.589
71.37151	-156.35791	13.994
71.37149	-156.35796	18.15
71.37147	-156.35803	19.091
71.37147	-156.35804	18.09
71.37147	-156.35808	25.856
71.37149	-156.35809	6.8645
71.37144	-156.35813	22.307
71.37144	-156.35818	14.904
71.37144	-156.35821	18.666
71.37142	-156.35816	15.39
71.37142	-156.35819	4.8319
71.37141	-156.35823	10.354
71.37139	-156.35824	3.8914
71.37139	-156.35828	2.9812
71.37137	-156.35831	6.4702
71.37134	-156.35838	2.3441
71.37134	-156.35843	8.6546
71.37132	-156.35844	1.7373
71.37132	-156.35853	3.0113
71.37131	-156.35853	5.135
71.37131	-156.35854	1.4338
71.37129	-156.35856	1.1304
71.37127	-156.35858	4.5282
71.37127	-156.35859	7.1069
71.37126	-156.35866	2.89
71.37126	-156.35868	7.5317
71.37126	-156.35874	1.7978
71.37124	-156.35879	1.1911
71.37124	-156.35879	0.85736
71.37122	-156.35884	0.645
71.37121	-156.35888	1.9495
71.37119	-156.35891	4.1035
71.37117	-156.35893	1.7068
71.37119	-156.35894	4.3159
71.37119	-156.35896	7.1676
71.37116	-156.35903	3.8911
71.37117	-156.35904	4.9226
71.37114	-156.35908	5.0136
71.37112	-156.35911	4.4372
71.37112	-156.35918	1.4945
71.37112	-156.35918	1.9797
71.37112	-156.35918	1.737
71.37111	-156.35928	3.4359
71.37107	-156.35933	-0.72024
71.37107	-156.35936	4.5887
71.37106	-156.35943	1.555
71.37104	-156.35943	0.70559
71.37102	-156.35943	4.4977
71.37102	-156.35948	1.4337
71.37102	-156.35951	1.4943
71.37101	-156.35956	4.1336
71.37101	-156.35959	3.6179
71.37102	-156.35961	4.1943
71.37099	-156.35968	3.3145
71.37099	-156.35968	2.5258
71.37097	-156.35969	17.937
71.37097	-156.35973	4.6494
71.37097	-156.35974	3.1022
71.37094	-156.35981	3.4966
71.37094	-156.35978	2.1011
71.37092	-156.35981	9.5032
71.37092	-156.35988	6.0752
71.37091	-156.35998	1.2212
71.37089	-156.35998	5.8323
71.37089	-156.35999	1.2819
71.37086	-156.36004	1.6763
71.37087	-156.36004	4.4065
71.37084	-156.36009	4.6492
71.37084	-156.36014	3.5268
71.37084	-156.36017	3.8908
71.37082	-156.36019	1.8886
71.37081	-156.36021	1.5549
71.37081	-156.36021	3.3447
71.37079	-156.36029	3.4964
71.37079	-156.36032	9.3816
71.37079	-156.36037	3.1324
71.37077	-156.36037	2.4347
71.37077	-156.36041	6.257
71.37074	-156.36044	3.5571
71.37074	-156.36049	3.9211
71.37072	-156.36054	5.8323
71.37071	-156.36056	3.1931
71.37071	-156.36059	7.076
71.37069	-156.36061	6.1356
71.37069	-156.36066	3.4357
71.37067	-156.36069	2.8897
71.37067	-156.36072	3.7391
71.37066	-156.36077	7.2277
71.37064	-156.36079	9.6243
71.37064	-156.36082	8.6229
71.37062	-156.36086	0.76614
71.37064	-156.36086	13.628
71.37062	-156.36094	10.413
71.37062	-156.36097	5.8928
71.37059	-156.36099	4.012
71.37057	-156.36101	1.5549
71.37056	-156.36104	1.7975
71.37056	-156.36104	2.1009
71.37056	-156.36111	6.1051
71.37052	-156.36114	1.5245
71.37052	-156.36117	15.843
71.37052	-156.36121	23.912
71.37051	-156.36124	14.023
71.37049	-156.36126	20.787
71.37047	-156.36129	12.506
71.37049	-156.36132	16.783
71.37049	-156.36134	11.596
71.37049	-156.36136	14.963
71.37046	-156.36141	10.2
71.37046	-156.36144	18.421
71.37046	-156.36146	3.1627
71.37044	-156.36147	10.504
71.37042	-156.36154	15.085
71.37044	-156.36154	3.5571
71.37041	-156.36157	35.622
71.37041	-156.36157	4.4368
71.37039	-156.36164	36.835
71.37039	-156.36167	30.92
71.37037	-156.36171	43.479
71.37037	-156.36176	56.402
71.37036	-156.36179	26.278
71.37036	-156.36182	39.96
71.37036	-156.36182	24.671
71.37036	-156.36186	6.6816
71.37036	-156.36191	11.141
71.37032	-156.36199	14.144
71.37032	-156.36201	28.827
71.37029	-156.36201	19.149
71.37029	-156.36204	3.5873
71.37029	-156.36206	52.123
71.37029	-156.36209	12.051
71.37027	-156.36214	1.1301
71.37026	-156.36216	25.489
71.37024	-156.36221	37.471
71.37022	-156.36222	41.779
71.37019	-156.36231	12.415
71.37021	-156.36229	23.457
71.37019	-156.36232	27.279
71.37019	-156.36232	7.5308
71.37017	-156.36236	9.1082
71.37017	-156.36242	8.5622
71.37017	-156.36244	37.653
71.37016	-156.36251	9.2903
71.37016	-156.36249	26.915
71.37012	-156.36254	46.542
71.37014	-156.36257	34.772
71.37012	-156.36256	16.237
71.37012	-156.36254	16.267
71.37011	-156.36256	31.95
71.37011	-156.36261	31.829
71.37011	-156.36262	30.768
71.37007	-156.36271	41.021
71.37006	-156.36274	10.049
71.37007	-156.36277	19.089
71.37006	-156.36282	29.555
71.37006	-156.36287	19.18
71.37006	-156.36291	8.0467
